,pid,tid
0,1,2115
1,1,297
2,1,272
3,1,3023
4,1,1193
5,1,3435
6,1,385
7,1,118
8,1,1567
9,1,1037
10,1,3397
11,1,2564
12,1,1759
13,1,404
14,1,806
15,1,2703
16,1,1772
17,1,2364
18,1,2178
19,1,2778
20,1,2998
21,1,1514
22,1,745
23,1,1494
24,1,99
25,3,3250
26,1,901
27,1,643
28,1,3323
29,3,3201
30,1,574
31,1,1621
32,1,1678
33,1,820
34,1,2436
35,1,2746
36,3,2856
37,1,1152
38,1,1771
39,1,2556
40,1,1855
41,1,1114
42,1,1820
43,1,2080
44,1,1085
45,1,1643
46,3,3233
47,1,2321
48,1,1255
49,1,1126
50,1,2936
51,1,1423
52,1,2269
53,1,3163
54,1,1880
55,1,129
56,1,2472
57,1,1383
58,1,2397
59,1,541
60,1,1724
61,1,225
62,1,511
63,1,2027
64,1,738
65,1,1991
66,1,3262
67,1,2405
68,1,1147
69,1,3127
70,1,2124
71,1,2112
72,1,2673
73,1,664
74,1,622
75,1,787
76,1,433
77,1,766
78,1,515
79,1,113
80,1,2049
81,1,833
82,1,2187
83,1,1261
84,1,2362
85,1,1049
86,3,2916
87,1,57
88,1,3288
89,1,2012
90,1,2245
91,3,3189
92,1,2928
93,1,1132
94,1,1651
95,1,2440
96,1,209
97,1,3479
98,1,2781
99,1,187
100,1,730
101,1,144
102,1,848
103,3,2891
104,3,2883
105,1,169
106,1,3013
107,1,533
108,1,2791
109,1,2072
110,1,1650
111,3,3246
112,1,973
113,1,2586
114,1,950
115,1,2094
116,1,534
117,1,2740
118,1,830
119,1,289
120,3,3232
121,3,3363
122,1,1704
123,1,2552
124,1,22
125,1,1572
126,1,204
127,1,2757
128,1,1757
129,1,1590
130,3,3241
131,1,2621
132,1,2581
133,1,161
134,1,592
135,1,601
136,1,140
137,1,1495
138,1,371
139,1,3427
140,3,3215
141,1,232
142,1,260
143,1,762
144,1,374
145,1,1365
146,1,2589
147,1,1713
148,1,822
149,1,579
150,1,201
151,1,2369
152,1,689
153,1,3449
154,1,1634
155,1,1794
156,1,345
157,1,2450
158,1,1280
159,1,2272
160,1,495
161,1,880
162,1,2225
163,1,2408
164,1,3093
165,1,2285
166,1,1977
167,1,1769
168,1,2057
169,1,2099
170,1,1129
171,1,596
172,1,2131
173,1,3161
174,1,352
175,1,350
176,1,184
177,1,3002
178,1,1901
179,1,160
180,1,3375
181,1,1870
182,1,2110
183,1,2276
184,1,1
185,1,341
186,1,1445
187,1,407
188,1,1656
189,1,2114
190,1,1665
191,1,3320
192,1,910
193,1,3437
194,1,3274
195,1,2942
196,1,2463
197,1,2459
198,1,1540
199,1,2060
