,store,type,department,date,weekly_sales,is_holiday,temperature_c,fuel_price_usd_per_l,unemployment
0,1,A,1,2010-02-05,24924.5,False,5.727777777777779,0.6794508388787476,8.106
1,1,A,1,2010-03-05,21827.9,False,8.055555555555555,0.693451964252221,8.106
2,1,A,1,2010-04-02,57258.43,False,16.81666666666667,0.718284148876872,7.808
3,1,A,1,2010-05-07,17413.94,False,22.52777777777778,0.7489281213923986,7.808
4,1,A,1,2010-06-04,17558.09,False,27.05,0.7145857384008601,7.808
5,1,A,1,2010-07-02,16333.14,False,27.17222222222222,0.7050755400339724,7.787000000000001
6,1,A,1,2010-08-06,17508.41,False,30.64444444444444,0.693980308605937,7.787000000000001
7,1,A,1,2010-09-03,16241.78,False,27.338888888888885,0.6807716997630375,7.787000000000001
8,1,A,1,2010-10-01,20094.19,False,22.16111111111111,0.6876401763613453,7.837999999999999
9,1,A,1,2010-11-05,34238.88,False,14.855555555555558,0.7103589835711321,7.837999999999999
10,1,A,1,2010-12-03,22517.56,False,9.594444444444449,0.7153782549314341,7.837999999999999
11,1,A,1,2011-01-07,15984.24,False,9.038888888888891,0.7861763983293752,7.742000000000001
901,2,A,1,2010-02-05,35034.06,False,4.549999999999999,0.6794508388787476,8.324
902,2,A,1,2010-03-05,27372.05,False,8.427777777777779,0.693451964252221,8.324
903,2,A,1,2010-04-02,82766.07,False,17.372222222222224,0.718284148876872,8.2
904,2,A,1,2010-05-07,26191.58,False,21.822222222222223,0.7489281213923986,8.2
905,2,A,1,2010-06-04,23869.17,False,27.672222222222224,0.7145857384008601,8.2
906,2,A,1,2010-07-02,23803.34,False,28.188888888888886,0.7050755400339724,8.099
907,2,A,1,2010-08-06,22795.72,False,31.96111111111111,0.693980308605937,8.099
908,2,A,1,2010-09-03,23901.32,False,27.68333333333333,0.6807716997630375,8.099
909,2,A,1,2010-10-01,27023.35,False,20.688888888888886,0.6876401763613453,8.163
910,2,A,1,2010-11-05,46198.84,False,14.36111111111111,0.7103589835711321,8.163
911,2,A,1,2010-12-03,30662.62,False,9.627777777777776,0.7153782549314341,8.163
912,2,A,1,2011-01-07,19092.94,False,7.049999999999999,0.7861763983293752,8.027999999999999
1798,4,A,1,2010-02-05,38724.42,False,6.533333333333332,0.6863193154770554,8.623
